2026-05-05 14:41:35,460 | INFO     | django.utils.autoreload | autoreload.py:667 | Watching for file changes with StatReloader
2026-05-05 14:41:38,386 | INFO     | django.server   | basehttp.py:213 | "GET / HTTP/1.1" 200 1101
2026-05-05 14:41:38,441 | WARNING  | django.server   | basehttp.py:213 | "GET /static/css/style.css HTTP/1.1" 404 1853
2026-05-05 14:41:40,263 | WARNING  | django.request  | log.py:253 | Not Found: /favicon.ico
2026-05-05 14:41:40,263 | WARNING  | django.server   | basehttp.py:213 | "GET /favicon.ico HTTP/1.1" 404 4824
2026-05-05 14:41:45,322 | INFO     | django.server   | basehttp.py:213 | "GET /auth/login/ HTTP/1.1" 200 812
2026-05-05 14:41:47,556 | INFO     | django.server   | basehttp.py:213 | "POST /auth/login/ HTTP/1.1" 302 0
2026-05-05 14:41:47,571 | INFO     | django.server   | basehttp.py:213 | "GET / HTTP/1.1" 200 1957
2026-05-05 14:41:47,609 | WARNING  | django.server   | basehttp.py:213 | "GET /static/css/style.css HTTP/1.1" 404 1853
2026-05-05 14:41:53,935 | DEBUG    | users.views     | views.py:65 | Пользователь Voron просматривает профиль Voron (владелец: True, друг: False)
2026-05-05 14:41:53,966 | INFO     | django.server   | basehttp.py:213 | "GET /users/Voron/ HTTP/1.1" 200 2403
2026-05-05 14:41:54,000 | WARNING  | django.server   | basehttp.py:213 | "GET /static/css/style.css HTTP/1.1" 404 1853
2026-05-05 14:41:56,008 | DEBUG    | users.views     | views.py:52 | Пользователь Voron просматривает список пользователей. Найдено: 3
2026-05-05 14:41:56,013 | INFO     | django.server   | basehttp.py:213 | "GET /users/ HTTP/1.1" 200 3166
2026-05-05 14:41:56,048 | WARNING  | django.server   | basehttp.py:213 | "GET /static/css/style.css HTTP/1.1" 404 1853
2026-05-05 14:41:57,756 | DEBUG    | users.views     | views.py:175 | Пользователь Voron просматривает входящие заявки. Найдено: 0
2026-05-05 14:41:57,761 | INFO     | django.server   | basehttp.py:213 | "GET /friend/requests/ HTTP/1.1" 200 1413
2026-05-05 14:41:57,797 | WARNING  | django.server   | basehttp.py:213 | "GET /static/css/style.css HTTP/1.1" 404 1853
2026-05-05 14:41:58,387 | DEBUG    | users.views     | views.py:65 | Пользователь Voron просматривает профиль Voron (владелец: True, друг: False)
2026-05-05 14:41:58,391 | INFO     | django.server   | basehttp.py:213 | "GET /users/Voron/ HTTP/1.1" 200 2403
2026-05-05 14:41:58,426 | WARNING  | django.server   | basehttp.py:213 | "GET /static/css/style.css HTTP/1.1" 404 1853
2026-05-05 14:41:59,109 | INFO     | django.server   | basehttp.py:213 | "GET /auth/password_change/ HTTP/1.1" 200 2936
2026-05-05 14:41:59,145 | WARNING  | django.server   | basehttp.py:213 | "GET /static/css/style.css HTTP/1.1" 404 1853
2026-05-05 14:41:59,794 | DEBUG    | users.views     | views.py:65 | Пользователь Voron просматривает профиль Voron (владелец: True, друг: False)
2026-05-05 14:41:59,798 | INFO     | django.server   | basehttp.py:213 | "GET /users/Voron/ HTTP/1.1" 200 2403
2026-05-05 14:41:59,834 | WARNING  | django.server   | basehttp.py:213 | "GET /static/css/style.css HTTP/1.1" 404 1853
2026-05-05 14:42:00,993 | INFO     | django.server   | basehttp.py:213 | "GET /profile/edit/ HTTP/1.1" 200 3824
2026-05-05 14:42:01,028 | WARNING  | django.server   | basehttp.py:213 | "GET /static/css/style.css HTTP/1.1" 404 1853
